Role,Location,SalaryOffer,CompensationType,PostedDate,Status
	Merchandiser Drop & Go,"Lubbock, TX",22,Yearly,2024-01-01,Active
	Public Figure Protection / Executive Protection Team Lead,Glendale,62500,Yearly,2024-01-01,Active
	Supervisor Clinic Operations,Irvine,28,Yearly,2024-01-01,Active
  Data Architect,West Sacramento,9511,Yearly,2024-01-01,Active
 AVP Underwriter ,Atlanta,160,Yearly,2024-01-01,Active
 Accounts Receivable Specialist,New York,60000,Yearly,2024-01-01,Active
 Azure Data Architect,Fremont,80,Yearly,2024-01-01,Active
 BigCommerce Architect,Alpharetta,135000,Yearly,2024-01-01,Active
 CAE Engineer- NVH,Dublin,46,Yearly,2024-01-01,Active
 Claims Analyst,New York,25,Yearly,2024-01-01,Active
 Cybersecurity Threat Hunter,Evergreen ,130000,Yearly,2024-01-01,Active
 Data Center / System Engineer (Nutanix),Alpharetta,70,Yearly,2024-01-01,Active
 ERP Implementation Specialist (Infor M3),Bristol,102500,Yearly,2024-01-01,Active
 Environmental & Waste Water Treatment Manager,Cedar Rapids,112500,Yearly,2024-01-01,Active
 GCP Data Engineer ,Livonia,115000,Yearly,2024-01-01,Active
 GIS Analyst/Programmer (DC local only - Onsite role),Charlotte,38,Yearly,2024-01-01,Active
 Information Technology Epic Beaker Application Analyst 2,Somerset,81,Yearly,2024-01-01,Active
 Instructors,"Nassau County, NY",37,Yearly,2024-01-01,Active
" Intern, Product Development  - Ann Taylor ",0,20,Yearly,2024-01-01,Active
 Jewelry Sales Consultant,Willowbrook,85000,Yearly,2024-01-01,Active
 Jr Marketing Finance Support Specialist (Remote),San Diego,35,Yearly,2024-01-01,Active
 Laboratory Operations (LabOps) Project Manager,Deerfield,69,Yearly,2024-01-01,Active
 Lead  Corporate Accountant (Hybrid),Woodbridge Township,32,Yearly,2024-01-01,Active
 Linux Systems Administrator (Part-Time),0,60,Yearly,2024-01-01,Active
 Logistics Manager,Raleigh,112,Yearly,2024-01-01,Active
 Marketing/Design/Sales - Commercial Marketing Specialist IV,DELHI,70,Yearly,2024-01-01,Active
 Mobile Developer - React Native ,0,76,Yearly,2024-01-01,Active
 Network Voice Cisco UCCE,Houston,47,Yearly,2024-01-01,Active
 Office Manager ,New York,27,Yearly,2024-01-01,Active
 Paralegal,Plainview,60000,Yearly,2024-01-01,Active
 Payroll Specialist,New York,32,Yearly,2024-01-01,Active
 Power BI Developer & Reporting Analyst II,0,35,Yearly,2024-01-01,Active
 Project Management Senior Associate ,Bellevue,52,Yearly,2024-01-01,Active
 Project Manager- Case Management,London,60,Yearly,2024-01-01,Active
 Radio Frequency Design Engineer,Manchester,157500,Yearly,2024-01-01,Active
 Real Estate Controller,New York,115000,Yearly,2024-01-01,Active
 SR SQL Server Database Developer,Victor,145000,Yearly,2024-01-01,Active
 Salesforce Integration Developer,Alpharetta,57,Yearly,2024-01-01,Active
 Securities Financing Trader,Paris,207500,Yearly,2024-01-01,Active
 Senior Accountant,Atlanta,87500,Yearly,2024-01-01,Active
 Senior Grant Accountant,New York,97500,Yearly,2024-01-01,Active
 Senior HPC Administrator,Naperville,145000,Yearly,2024-01-01,Active
